Datum|Stunde|StundeNumerisch|Klasse|Fach|Lehrer|Vertretung|Raum|Anmerkung
11.02.2016|101|101||||||Sk, 1. Stunde
11.02.2016|1|1|Q2|M-L1|Rei|||f.a.
11.02.2016|1|1|5b 5d|Eb|Wg|||f.a.
11.02.2016|1|1|EF|ER-2|Wa|||f.a.
11.02.2016|2|2|Q2|M-L1|Rei|||f.a.
11.02.2016|2|2|EF|ER-2|Wa|||f.a.
11.02.2016|3|3|EF|D-2|Ge|||f.a.
11.02.2016|4|4|EF|D-2|Ge|||f.a.
11.02.2016|5|5|Q2|SwZ-2|Rei|||f.a.
11.02.2016|5|5|7d|D|Ge|||f.a.
11.02.2016|5|5|8a 8b|S8|Bul|||f.a.
11.02.2016|5|5|IK(a)|IK(a)|Sb|||f.a.
11.02.2016|6|6|Q2|SwZ-2|Rei|||f.a.
11.02.2016|6|6|7d|Eb|Mn|||f.a.
11.02.2016|6|6|7e|Sp|Ge|||f.a.
11.02.2016|6|6|8a 8b|S8|Bul|||f.a.
11.02.2016|6|6|IK(a)|IK(a)|Sb|||f.a.
11.02.2016|7|7|Q2|KR-1|Bu|||f.a.
11.02.2016|7|7|Q2|Ge-3|Nö|||f.a.
11.02.2016|7|7|5a 5b 5c 5d 6a 6b 6c|Mu-AG|Krd|||f.a.
11.02.2016|7|7|HockeyAG|HoAG|Ge|||f.a.
11.02.2016|8|8|7c|Sp|Ge|||f.a.
11.02.2016|8|8|9a 9b 9c|KR|Bu|||f.a.
11.02.2016|8|8|EF|Ku-2|Me|||f.a.
11.02.2016|9|9|7c|Sp|Ge|||f.a.
11.02.2016|9|9|9a 9b 9c|KR|Bu|||f.a.
11.02.2016|9|9|EF|Sp3|Mn|||f.a.
11.02.2016|10|10|EF|Sp3|Mn|||f.a.
11.02.2016|3|3|Q2|M-3|Rei||418|findet statt
11.02.2016|4|4|Q2|M-3|Rei||418|findet statt
11.02.2016|5|5|9c|Ge|Wd|Ad|307|
11.02.2016|2|2|6a 6b 6c|L6|Bul|Ar|IIA|
11.02.2016|3|3|9c|L5|Bul|Bl|307|
11.02.2016|4|4|9c|L5|Bul|Bl|307|
11.02.2016|2|2|5d|M|Kr|Bng|201|
11.02.2016|3|3|7c 7e|Ea|Mn|Gr|305|
11.02.2016|5|5|5d|Mu|Krd|Gr|201|Raumänderung
11.02.2016|6|6|9b|Ge|Nö|Gr|301|
11.02.2016|5|5|6b 6c|L5|Bu|Ha|219|
11.02.2016|6|6|6b 6c|L5|Bu|Ha|219|
11.02.2016|4|4|5d|Mu|Krd|Ho|201|Raumänderung
